file,start_time,end_time,D,A NE Pacific,B NE Pacific
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130415_011205.d100.x.wav,7965.0,7980.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121112_122652.d100.x.wav,99495.0,99510.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130719_142218.d100.x.wav,146100.0,146115.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130417_182615.d100.x.wav,38130.0,38145.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130714_035358.d100.x.wav,94455.0,94470.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130719_142218.d100.x.wav,75105.0,75120.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121109_191242.d100.x.wav,63975.0,63990.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130716_210808.d100.x.wav,46710.0,46725.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130417_182615.d100.x.wav,181575.0,181590.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130415_011205.d100.x.wav,49185.0,49200.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130714_035358.d100.x.wav,150135.0,150150.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121112_122652.d100.x.wav,3675.0,3690.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130417_182615.d100.x.wav,107445.0,107460.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121109_191242.d100.x.wav,162525.0,162540.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130417_182615.d100.x.wav,195375.0,195390.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130417_182615.d100.x.wav,27075.0,27090.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130415_011205.d100.x.wav,89325.0,89340.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130417_182615.d100.x.wav,172410.0,172425.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121112_122652.d100.x.wav,108210.0,108225.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121112_122652.d100.x.wav,71820.0,71835.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130719_142218.d100.x.wav,3015.0,3030.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130714_035358.d100.x.wav,198930.0,198945.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130714_035358.d100.x.wav,229605.0,229620.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121109_191242.d100.x.wav,191055.0,191070.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121109_191242.d100.x.wav,146850.0,146865.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130719_142218.d100.x.wav,27135.0,27150.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130714_035358.d100.x.wav,45690.0,45705.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130415_011205.d100.x.wav,26880.0,26895.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130716_210808.d100.x.wav,184785.0,184800.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121112_122652.d100.x.wav,184515.0,184530.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121112_122652.d100.x.wav,128310.0,128325.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130415_011205.d100.x.wav,20820.0,20835.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130719_142218.d100.x.wav,219495.0,219510.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130714_035358.d100.x.wav,110565.0,110580.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_spring/DCPP02A_d03_130415_011205.d100.x.wav,115380.0,115395.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130714_035358.d100.x.wav,199665.0,199680.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130719_142218.d100.x.wav,211350.0,211365.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121112_122652.d100.x.wav,182250.0,182265.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121112_122652.d100.x.wav,38505.0,38520.0,0.0,0.0,1.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP01A_fall/DCPP01A_d01_121112_122652.d100.x.wav,51840.0,51855.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130716_210808.d100.x.wav,97335.0,97350.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130714_035358.d100.x.wav,117570.0,117585.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130716_210808.d100.x.wav,161745.0,161760.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130714_035358.d100.x.wav,229575.0,229590.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130719_142218.d100.x.wav,172020.0,172035.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130719_142218.d100.x.wav,4875.0,4890.0,0.0,0.0,0.0
/mnt/ssd-cluster/michaela/data/xwavs/DCCP02A_summer/DCPP02A_d11_130719_142218.d100.x.wav,185070.0,185085.0,0.0,0.0,0.0
